Lift: -0.0 | Wegith: 140.038962 | L/D: -0.0
Lift: 1.4263463679807377e-06 | Wegith: 140.038962 | L/D: 1.018535375876849e-08
Lift: -3.0488892706145015e-05 | Wegith: 140.038962 | L/D: -2.1771721434314128e-07
Lift: -0.0002523185139803348 | Wegith: 140.038962 | L/D: -1.8017736662482175e-06
Lift: -0.001711951372118176 | Wegith: 140.038962 | L/D: -1.2224821918618449e-05
Lift: -0.0053350362741792804 | Wegith: 140.038962 | L/D: -3.809679961908944e-05
Lift: -0.013575576590931346 | Wegith: 140.038962 | L/D: -9.694142542224317e-05
Lift: -0.03023662533055324 | Wegith: 140.038962 | L/D: -0.00021591580584946952
Lift: -0.0606608622786785 | Wegith: 140.038962 | L/D: -0.000433171321840264
Lift: -0.1111714376096696 | Wegith: 140.038962 | L/D: -0.0007938607657608145
Lift: -0.1876929116931953 | Wegith: 140.038962 | L/D: -0.0013402906520629258
Lift: -0.30809348356736876 | Wegith: 140.038962 | L/D: -0.0022000554643311966
Lift: -0.4762673156091308 | Wegith: 140.038962 | L/D: -0.0034009629092304383
Lift: -0.5395847398272773 | Wegith: 140.038962 | L/D: -0.0038531043940991027
Lift: -0.7442595757614029 | Wegith: 140.038962 | L/D: -0.005314660756778552
Lift: -1.001765520948899 | Wegith: 140.038962 | L/D: -0.007153477194074738
Lift: -1.3167308467490633 | Wegith: 140.038962 | L/D: -0.009402603589342966
Lift: -1.6944044763291084 | Wegith: 140.038962 | L/D: -0.012099521819714062
Lift: -2.1471223973274696 | Wegith: 140.038962 | L/D: -0.015332321567246903
Lift: -2.4740839440092586 | Wegith: 140.038962 | L/D: -0.01766711141438808
Lift: -3.0022960225087285 | Wegith: 140.038962 | L/D: -0.021439005114224773
Lift: -3.5675181143450883 | Wegith: 140.038962 | L/D: -0.025475182502031745
Lift: -4.168848639526886 | Wegith: 140.038962 | L/D: -0.02976920551244079
Lift: -4.817410075655975 | Wegith: 140.038962 | L/D: -0.034400498310291495
Lift: -5.510748954774891 | Wegith: 140.038962 | L/D: -0.039351541000245994
...
Lift: 24.672612473418678 | Wegith: 140.038962 | L/D: 0.17618391425536759
Lift: 19.614491466328516 | Wegith: 140.038962 | L/D: 0.1400645305149328
Lift: 14.038219861487214 | Wegith: 140.038962 | L/D: 0.10024510079907058
Lift: -108.98084256435324 | Wegith: 140.038962 | L/D: -0.7782180116727317
Output is truncated. View as a scrollable element or open in a text editor. Adjust cell output settings...
Lift: 22.622092001126262 | Wegith: 140.038962 | L/D: 0.16154141446097167
Lift: 15.704327026883032 | Wegith: 140.038962 | L/D: 0.1121425552046225
Lift: 10.363701046634445 | Wegith: 140.038962 | L/D: 0.0740058402220551
Lift: -109.26200124089699 | Wegith: 140.038962 | L/D: -0.7802257291859747
Lift: 20.346845669262475 | Wegith: 140.038962 | L/D: 0.14529417655396842
Lift: 13.318170260492142 | Wegith: 140.038962 | L/D: 0.09510332032089856
Lift: -105.01066209250747 | Wegith: 140.038962 | L/D: -0.749867469686811
Lift: 23.532415746999686 | Wegith: 140.038962 | L/D: 0.16804191784140535
Lift: 18.75717140608545 | Wegith: 140.038962 | L/D: 0.13394251955456118
Lift: 15.567137055953777 | Wegith: 140.038962 | L/D: 0.11116289947903055
Lift: 13.185961080202196 | Wegith: 140.038962 | L/D: 0.09415923177295613
Lift: 9.855803800744196 | Wegith: 140.038962 | L/D: 0.07037901209767748
Lift: -105.80927944078027 | Wegith: 140.038962 | L/D: -0.7555702922218195
Lift: 17.17860691830635 | Wegith: 140.038962 | L/D: 0.12267019601520862
Lift: 9.19637114104375 | Wegith: 140.038962 | L/D: 0.06567008930731542
Lift: -105.73171331041031 | Wegith: 140.038962 | L/D: -0.7550164025809497
Lift: 18.959243189373087 | Wegith: 140.038962 | L/D: 0.13538548785710855
Lift: 15.759219940557552 | Wegith: 140.038962 | L/D: 0.11253453835624369
Lift: 13.646718574515374 | Wegith: 140.038962 | L/D: 0.09744944106708942
Lift: 11.533910874708264 | Wegith: 140.038962 | L/D: 0.08236215628839254
Lift: 8.26127200049082 | Wegith: 140.038962 | L/D: 0.058992668058270956
Lift: -103.67106825698265 | Wegith: 140.038962 | L/D: -0.7403016044704948
Lift: 17.370501239565886 | Wegith: 140.038962 | L/D: 0.12404048838612419
Lift: 11.617778353351392 | Wegith: 140.038962 | L/D: 0.08296104303708987
Lift: 8.077538101618929 | Wegith: 140.038962 | L/D: 0.05768064820145503
Lift: 6.95393507271047 | Wegith: 140.038962 | L/D: 0.049657145221559625
Lift: -100.20011391256878 | Wegith: 140.038962 | L/D: -0.7155159712806839
Lift: 22.19587654463524 | Wegith: 140.038962 | L/D: 0.15849786536289265
Lift: 17.03316365846221 | Wegith: 140.038962 | L/D: 0.1216316046277336
Lift: 12.28819377236259 | Wegith: 140.038962 | L/D: 0.08774839228216066
Lift: 9.898565966529633 | Wegith: 140.038962 | L/D: 0.07068437115757566
Lift: 9.655373724400041 | Wegith: 140.038962 | L/D: 0.06894776701072693
Lift: 9.547491033437108 | Wegith: 140.038962 | L/D: 0.06817739075670318
Lift: 7.721613482522324 | Wegith: 140.038962 | L/D: 0.05513903682406846
Lift: -102.02907568966533 | Wegith: 140.038962 | L/D: -0.728576349271036
Lift: 17.434193714266208 | Wegith: 140.038962 | L/D: 0.12449530805766904
Lift: 12.08734313265947 | Wegith: 140.038962 | L/D: 0.08631414400700478
Lift: 9.269734363420776 | Wegith: 140.038962 | L/D: 0.0661939665292633
Lift: 9.40143819489276 | Wegith: 140.038962 | L/D: 0.0671344464470735
Lift: 10.524586113248759 | Wegith: 140.038962 | L/D: 0.07515469954175152
Lift: 10.049839022390259 | Wegith: 140.038962 | L/D: 0.07176459235959104
Lift: 7.189791726473417 | Wegith: 140.038962 | L/D: 0.05134136688669127
Lift: -103.5467843227946 | Wegith: 140.038962 | L/D: -0.7394141090734062
Lift: 16.899445955676946 | Wegith: 140.038962 | L/D: 0.12067674391700323
Lift: 12.86115316096667 | Wegith: 140.038962 | L/D: 0.09183982069908994
Lift: 11.842308967867732 | Wegith: 140.038962 | L/D: 0.08456438693017256
Lift: 13.231701927178475 | Wegith: 140.038962 | L/D: 0.09448586120752935
Lift: 14.593326511988728 | Wegith: 140.038962 | L/D: 0.1042090451369436
Lift: 13.749166064035881 | Wegith: 140.038962 | L/D: 0.09818100525506523
Lift: 10.726978046875585 | Wegith: 140.038962 | L/D: 0.0765999539961999
Lift: 7.046741140881894 | Wegith: 140.038962 | L/D: 0.0503198612746208
Lift: -103.78547522381815 | Wegith: 140.038962 | L/D: -0.7411185697293169
Lift: 20.801836888805717 | Wegith: 140.038962 | L/D: 0.14854320963051496
Lift: 18.899063064196277 | Wegith: 140.038962 | L/D: 0.13495574941633942
Lift: 18.78590745578669 | Wegith: 140.038962 | L/D: 0.13414771994515848
Lift: 19.704081613624616 | Wegith: 140.038962 | L/D: 0.14070428209561148
Lift: 20.063740591619155 | Wegith: 140.038962 | L/D: 0.1432725600438195
Lift: 18.79331571082813 | Wegith: 140.038962 | L/D: 0.13420062133014188
Lift: 16.224629891702076 | Wegith: 140.038962 | L/D: 0.11585797023904017
Lift: 13.68945579447829 | Wegith: 140.038962 | L/D: 0.09775462199211596
Lift: 12.03897261124843 | Wegith: 140.038962 | L/D: 0.08596873640957457
Lift: 10.784081902650119 | Wegith: 140.038962 | L/D: 0.07700772519757837
Lift: 8.878491985644784 | Wegith: 140.038962 | L/D: 0.06340015563414976
Lift: -105.04111109515348 | Wegith: 140.038962 | L/D: -0.7500849020514269
Lift: 21.963474635626646 | Wegith: 140.038962 | L/D: 0.15683831358037806
Lift: 17.589910051131298 | Wegith: 140.038962 | L/D: 0.1256072581509944
Lift: 15.87678761943209 | Wegith: 140.038962 | L/D: 0.11337407384833437
Lift: 16.47674229313089 | Wegith: 140.038962 | L/D: 0.11765827208238583
Lift: 16.933946327911908 | Wegith: 140.038962 | L/D: 0.12092310658452259
Lift: 14.952838306952104 | Wegith: 140.038962 | L/D: 0.10677627207028359
Lift: 10.850325895901138 | Wegith: 140.038962 | L/D: 0.07748076493098498
Lift: -107.81980090622898 | Wegith: 140.038962 | L/D: -0.7699271643146639
Lift: 23.45532070172911 | Wegith: 140.038962 | L/D: 0.16749139215791325
Lift: 20.745876355317435 | Wegith: 140.038962 | L/D: 0.14814360274476637
Lift: 20.05816198336993 | Wegith: 140.038962 | L/D: 0.14323272392843023
Lift: 20.153706900444444 | Wegith: 140.038962 | L/D: 0.14391499774501645
Lift: 19.5431858509297 | Wegith: 140.038962 | L/D: 0.13955534639659567
Lift: 17.723235382681164 | Wegith: 140.038962 | L/D: 0.12655931698980433
Lift: 15.19237880625635 | Wegith: 140.038962 | L/D: 0.10848679959693182
Lift: 12.67594574810852 | Wegith: 140.038962 | L/D: 0.09051727867069252
Lift: 10.680735185431958 | Wegith: 140.038962 | L/D: 0.07626973974165817
Lift: -110.15660580828923 | Wegith: 140.038962 | L/D: -0.7866139839589016
Lift: 29.34163721432607 | Wegith: 140.038962 | L/D: 0.2095248122042355
Lift: 26.426510551712873 | Wegith: 140.038962 | L/D: 0.18870827214295458
Lift: 24.77717922886259 | Wegith: 140.038962 | L/D: 0.1769306118454562
Lift: 25.018103184097352 | Wegith: 140.038962 | L/D: 0.17865101845083195
Lift: 26.13036618466924 | Wegith: 140.038962 | L/D: 0.1865935437644078
Lift: 26.719811365103883 | Wegith: 140.038962 | L/D: 0.19080269507498837
Lift: 26.35915704183901 | Wegith: 140.038962 | L/D: 0.18822730949576025
Lift: 25.49487746737848 | Wegith: 140.038962 | L/D: 0.18205560155022057
Lift: 24.651771594093464 | Wegith: 140.038962 | L/D: 0.17603509224878047
Lift: 23.934199059421605 | Wegith: 140.038962 | L/D: 0.17091100017880456
Lift: 23.115696539782526 | Wegith: 140.038962 | L/D: 0.1650661802233476
Lift: 21.96868872012388 | Wegith: 140.038962 | L/D: 0.1568755466791012
Lift: 20.44895750721635 | Wegith: 140.038962 | L/D: 0.14602334389779573
Lift: 18.650537419546406 | Wegith: 140.038962 | L/D: 0.13318106013629555
Lift: 16.62695690300214 | Wegith: 140.038962 | L/D: 0.1187309350593597
Lift: 14.334998693269661 | Wegith: 140.038962 | L/D: 0.10236435980773452
Lift: -115.01800486047289 | Wegith: 140.038962 | L/D: -0.8213286018249185
Lift: 32.74852712959242 | Wegith: 140.038962 | L/D: 0.23385296964420815
Lift: 28.87449491522313 | Wegith: 140.038962 | L/D: 0.2061890098501525
Lift: 26.19926571925993 | Wegith: 140.038962 | L/D: 0.1870855463728725
Lift: 23.496358294328825 | Wegith: 140.038962 | L/D: 0.16778443626516473
Lift: 19.628125836189813 | Wegith: 140.038962 | L/D: 0.14016189177544613
Lift: -113.60412554642231 | Wegith: 140.038962 | L/D: -0.8112322736755383
Lift: 33.70547117474114 | Wegith: 140.038962 | L/D: 0.24068638251361177
Lift: 26.63955017587317 | Wegith: 140.038962 | L/D: 0.19022956036958608
Lift: 21.290205209650885 | Wegith: 140.038962 | L/D: 0.15203058424305435
Lift: -112.91593829519495 | Wegith: 140.038962 | L/D: -0.8063180180898153
Lift: 35.71668684140269 | Wegith: 140.038962 | L/D: 0.2550482118069591
Lift: 27.459556431400614 | Wegith: 140.038962 | L/D: 0.19608511830729375
Lift: 20.106076551662103 | Wegith: 140.038962 | L/D: 0.14357487562398602
Lift: -117.64701671002824 | Wegith: 140.038962 | L/D: -0.8401020332472061
Lift: 30.70213669788229 | Wegith: 140.038962 | L/D: 0.21923996193203923
Lift: 20.88319040138381 | Wegith: 140.038962 | L/D: 0.14912414447476274
Lift: -119.2456306165031 | Wegith: 140.038962 | L/D: -0.8515175270758084
Lift: 30.659508662165734 | Wegith: 140.038962 | L/D: 0.21893556067750441
Lift: 21.809331664629582 | Wegith: 140.038962 | L/D: 0.15573759868792503
Lift: -118.68469846674965 | Wegith: 140.038962 | L/D: -0.8475119836060314
Lift: 32.452911772469804 | Wegith: 140.038962 | L/D: 0.2317420188566508
Lift: 23.537003898822707 | Wegith: 140.038962 | L/D: 0.16807468123637412
Lift: -117.65178583610434 | Wegith: 140.038962 | L/D: -0.8401360889557603
Lift: 35.25943248728396 | Wegith: 140.038962 | L/D: 0.2517830179809813
Lift: 26.92830044863035 | Wegith: 140.038962 | L/D: 0.1922914884832576
Lift: -114.568296757557 | Wegith: 140.038962 | L/D: -0.8181172947965509
Lift: 39.80117515494162 | Wegith: 140.038962 | L/D: 0.2842150112119627
Lift: 31.744036042208855 | Wegith: 140.038962 | L/D: 0.22668002953498653
Lift: 25.434278815675157 | Wegith: 140.038962 | L/D: 0.18162287446600153
Lift: -116.75832670836945 | Wegith: 140.038962 | L/D: -0.8337560136183347
Lift: 38.237381236455825 | Wegith: 140.038962 | L/D: 0.2730481623853783
Lift: 28.602162828265914 | Wegith: 140.038962 | L/D: 0.20424432186426741
Lift: -115.36465220943589 | Wegith: 140.038962 | L/D: -0.8238039654238217
Lift: 42.13454249358778 | Wegith: 140.038962 | L/D: 0.3008772836632978
Lift: 34.16002713328094 | Wegith: 140.038962 | L/D: 0.2439323074479868
Lift: 27.34258773914908 | Wegith: 140.038962 | L/D: 0.19524986010071313
Lift: -117.25995961572879 | Wegith: 140.038962 | L/D: -0.837338108916637
Lift: 39.55664928223653 | Wegith: 140.038962 | L/D: 0.2824688837827613
Lift: 29.656017517366458 | Wegith: 140.038962 | L/D: 0.21176976102812342
Lift: -116.10187264492697 | Wegith: 140.038962 | L/D: -0.8290683605961531
Lift: 42.8911495084243 | Wegith: 140.038962 | L/D: 0.30628011587535403
Lift: 34.228699671025126 | Wegith: 140.038962 | L/D: 0.24442268910151682
Lift: 26.645910785595998 | Wegith: 140.038962 | L/D: 0.19027498065571208
Lift: -119.93709706184846 | Wegith: 140.038962 | L/D: -0.8564551989599042
Lift: 37.87898277898541 | Wegith: 140.038962 | L/D: 0.2704888856501622
Lift: 27.48725280071944 | Wegith: 140.038962 | L/D: 0.1962828944756063
Lift: -119.83916996566934 | Wegith: 140.038962 | L/D: -0.8557559143123993
Lift: 40.02323578856258 | Wegith: 140.038962 | L/D: 0.28580071729296724
Lift: 30.705612636456923 | Wegith: 140.038962 | L/D: 0.2192647831569683
Lift: -117.05687307708614 | Wegith: 140.038962 | L/D: -0.8358878943781812
Lift: 42.309980774967286 | Wegith: 140.038962 | L/D: 0.3021300655953683
Lift: 32.950151625769735 | Wegith: 140.038962 | L/D: 0.23529274392772018
Lift: 25.171745899576777 | Wegith: 140.038962 | L/D: 0.1797481610837474
Lift: -123.12759814684223 | Wegith: 140.038962 | L/D: -0.8792381519283343
Lift: 35.56458402126368 | Wegith: 140.038962 | L/D: 0.25396206536623483
Lift: 24.956429273942007 | Wegith: 140.038962 | L/D: 0.17821061308596395
Lift: -123.65633088489194 | Wegith: 140.038962 | L/D: -0.8830137635902496
Lift: 37.498270588804196 | Wegith: 140.038962 | L/D: 0.2677702694540409
Lift: 28.15075844550837 | Wegith: 140.038962 | L/D: 0.2010209019223405
Lift: -120.84559767363133 | Wegith: 140.038962 | L/D: -0.8629426835770986
Lift: 40.569270380069035 | Wegith: 140.038962 | L/D: 0.2896998792383868
Lift: 31.99618510981109 | Wegith: 140.038962 | L/D: 0.22848059320670408
Lift: -116.64231158721361 | Wegith: 140.038962 | L/D: -0.8329275647388305
Lift: 44.82607957894809 | Wegith: 140.038962 | L/D: 0.3200971996561078
Lift: 36.57255970016417 | Wegith: 140.038962 | L/D: 0.26115988848992017
Lift: 28.891677114002974 | Wegith: 140.038962 | L/D: 0.20631170569518342
Lift: -118.90276772708869 | Wegith: 140.038962 | L/D: -0.8490691878099517
Lift: 43.48565010364954 | Wegith: 140.038962 | L/D: 0.3105253672449353
Lift: 35.79600043421305 | Wegith: 140.038962 | L/D: 0.2556145798496639
Lift: 28.702555102784988 | Wegith: 140.038962 | L/D: 0.2049612100294273
Lift: -117.84969855861723 | Wegith: 140.038962 | L/D: -0.8415493579466637
Lift: 45.58453334633853 | Wegith: 140.038962 | L/D: 0.325513219287776
Lift: 38.91695078128454 | Wegith: 140.038962 | L/D: 0.27790088005139985
Lift: 32.17590857482628 | Wegith: 140.038962 | L/D: 0.22976397507735227
Lift: 26.56362614316361 | Wegith: 140.038962 | L/D: 0.18968739673437177
Lift: -117.5673848862651 | Wegith: 140.038962 | L/D: -0.8395333927586889
Lift: 46.562237865918796 | Wegith: 140.038962 | L/D: 0.33249488000288663
Lift: 40.72829197583947 | Wegith: 140.038962 | L/D: 0.2908354317553387
Lift: 33.79228956522695 | Wegith: 140.038962 | L/D: 0.2413063413396834
Lift: 28.362769196467763 | Wegith: 140.038962 | L/D: 0.20253484309936376
Lift: 25.050143960074884 | Wegith: 140.038962 | L/D: 0.17887981746162104
Lift: -115.84552852382632 | Wegith: 140.038962 | L/D: -0.8272378405934365
Lift: 46.06733583344728 | Wegith: 140.038962 | L/D: 0.3289608490060593
Lift: 40.30997054199634 | Wegith: 140.038962 | L/D: 0.2878482528454927
Lift: 34.55628046455736 | Wegith: 140.038962 | L/D: 0.2467619009098151
Lift: 30.664248884575173 | Wegith: 140.038962 | L/D: 0.2189694099887371
Lift: 27.655928651481755 | Wegith: 140.038962 | L/D: 0.19748738677084565
Lift: 23.573920328879808 | Wegith: 140.038962 | L/D: 0.16833829665832434
Lift: -116.15134871911565 | Wegith: 140.038962 | L/D: -0.8294216628020682
Lift: 41.98176534351778 | Wegith: 140.038962 | L/D: 0.299786321920308
Lift: 38.495318478962105 | Wegith: 140.038962 | L/D: 0.2748900586606898
Lift: 34.7939801103463 | Wegith: 140.038962 | L/D: 0.24845928314111823
Lift: 30.673451678046113 | Wegith: 140.038962 | L/D: 0.21903512593906627
Lift: 26.730613003900636 | Wegith: 140.038962 | L/D: 0.1908798281716815
Lift: 23.387487255290278 | Wegith: 140.038962 | L/D: 0.16700700234617763
Lift: 20.28190227051966 | Wegith: 140.038962 | L/D: 0.14483042419665793
Lift: -113.59676196995186 | Wegith: 140.038962 | L/D: -0.8111796913344149
Lift: 39.87996552062409 | Wegith: 140.038962 | L/D: 0.2847776429578512
Lift: 36.4427870376071 | Wegith: 140.038962 | L/D: 0.2602331987979681
Lift: 33.019538674348084 | Wegith: 140.038962 | L/D: 0.23578822781011533
Lift: 30.287338240762967 | Wegith: 140.038962 | L/D: 0.21627794014042298
Lift: 28.26869495639616 | Wegith: 140.038962 | L/D: 0.20186307119583022
Lift: 26.301744434530388 | Wegith: 140.038962 | L/D: 0.18781733353986435
Lift: 24.051720231394718 | Wegith: 140.038962 | L/D: 0.17175020357116555
Lift: 21.94366537251179 | Wegith: 140.038962 | L/D: 0.1566968582108727
Lift: 20.43455192338592 | Wegith: 140.038962 | L/D: 0.145920475498711
Lift: 19.306578842069925 | Wegith: 140.038962 | L/D: 0.13786576654338473
Lift: 18.024329573505042 | Wegith: 140.038962 | L/D: 0.12870939141569074
Lift: 16.53740570138791 | Wegith: 140.038962 | L/D: 0.11809146158472605
Lift: 15.268312092961963 | Wegith: 140.038962 | L/D: 0.10902902931372745
Lift: 14.361953160812867 | Wegith: 140.038962 | L/D: 0.1025568381520342
Lift: 13.476253475143274 | Wegith: 140.038962 | L/D: 0.09623217198041838
Lift: -108.61796999119015 | Wegith: 140.038962 | L/D: -0.7756267858597106
Lift: 34.33090686986151 | Wegith: 140.038962 | L/D: 0.24515253740499382
Lift: 32.32220250180179 | Wegith: 140.038962 | L/D: 0.2308086409680885
Lift: 28.683813117615014 | Wegith: 140.038962 | L/D: 0.20482737595280814
Lift: 24.82672464125242 | Wegith: 140.038962 | L/D: 0.1772844091864407
Lift: 22.159615195358704 | Wegith: 140.038962 | L/D: 0.15823892778753032
Lift: 20.371021943195117 | Wegith: 140.038962 | L/D: 0.14546681617930815
